kode_aturan,BARIS_ASLI,TGL,KODE,NAMA_BARANG,QTY,SATUAN_K,HARGA,JUMLAH,PELANGGAN,SKOR_ANOMALI,kategori,tingkat,deskripsi,tindakan,saran
A01,4561,2020-08-03,MIT-016,MITRAKU FISH CAKE SINGAPORE 1000 GR X 10,2.0,PACK,52000.0,95680.0,PAK ERWIN,4,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,4569,2020-08-03,MIT-018,MITRAKU BAKSO IKAN ISI TUNA 500 GR X 20,3.0,DUS,560000.0,1596000.0,AMANAH FROZEN,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,4570,2020-08-03,MIT-019,MITRAKU BAKSO IKAN ISI AYAM 500 GR X 20,3.0,DUS,560000.0,1596000.0,AMANAH FROZEN,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,4571,2020-08-03,MIT-017,MITRAKU BAKSO IKAN ISI KEJU 500 GR X 20,3.0,DUS,560000.0,1596000.0,AMANAH FROZEN,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,4572,2020-08-03,MIT-012,MITRAKU FISH TOFU 500 GR X 20 PACK,2.0,DUS,498000.0,916320.0,AMANAH FROZEN,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,5136,2020-08-18,OKEY-004,OKEY STICK 1000 GR X 5 PACK,10.0,DUS,185000.0,1800000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,5715,2020-09-03,OKEY-003,OKEY STICK 500 GR X 10 PACK,15.0,DUS,185000.0,2700000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,5717,2020-09-03,OKEY-004,OKEY STICK 1000 GR X 5 PACK,5.0,DUS,185000.0,900000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,5893,2020-09-09,MI-001,MIAMI 8 LTR NEAPOLITAN CHOCO CHIPS,12.0,PAIL,125000.0,1440000.0,ULIL,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,5894,2020-09-09,MI-003,MIAMI 8 LTR NEAPOLITAN,5.0,PAIL,120000.0,550000.0,WING,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,6260,2020-09-18,OKEY-003,OKEY STICK 500 GR X 10 PACK,15.0,DUS,185000.0,2700000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,6264,2020-09-18,OKEY-004,OKEY STICK 1000 GR X 5 PACK,15.0,DUS,185000.0,2700000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,6713,2020-09-29,OKEY-003,OKEY STICK 500 GR X 10 PACK,20.0,DUS,185000.0,3600000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,6715,2020-09-29,OKEY-004,OKEY STICK 1000 GR X 5 PACK,5.0,DUS,185000.0,900000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
R01,14,2020-04-01,SHIF-003,SHIFUDO FISH ROLL 250 GR X 20 PACK,15.0,PACK,10051.0,150765.0,ANJANI FROZEN FOOD,2,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
