BARIS_ASLI,TGL,BULAN,HARI,KODE,NAMA_BARANG,BRAND,QTY,SATUAN,HARGA,HARGA_EFEKTIF,OMZET,RASIO,PELANGGAN,SUMBER_HARGA,TINGKAT_TERTINGGI,SKOR_ANOMALI,FLAG
74,2020-04-02,2020-04-01,Thursday,JOF-002,JOFRANS NUGGET AYAM REG. 500 GR X 12 PAK,JOFRANS,1.0,DUS,216000.0,216000.0,216000.0,1.0,RETRO,asli,bersih,0,
75,2020-04-02,2020-04-01,Thursday,JOF-023,JOFRANS NUGGET AYAM HATI 500 GR X 12 PAK,JOFRANS,1.0,DUS,216000.0,216000.0,216000.0,1.0,RETRO,asli,bersih,0,
76,2020-04-02,2020-04-01,Thursday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,2.0,DUS,250000.0,250000.0,500000.0,1.0,RETRO,asli,peringatan,2,R02
77,2020-04-02,2020-04-01,Thursday,MIN-001,MINAKU OTAK OTAK 500 GR X 20 PACK,MINAKU,1.0,DUS,340000.0,340000.0,340000.0,1.0,RETRO,asli,bersih,0,
79,2020-04-02,2020-04-01,Thursday,OKEY-001,OKEY SOSIS 500 GR X 20 PACK,OKEY,5.0,DUS,335000.0,335000.0,1675000.0,1.0,ATAK,asli,bersih,0,
80,2020-04-02,2020-04-01,Thursday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,5.0,DUS,240000.0,240000.0,1200000.0,1.0,TIGA PUTRI,asli,peringatan,2,R02
81,2020-04-02,2020-04-01,Thursday,JOF-023,JOFRANS NUGGET AYAM HATI 500 GR X 12 PAK,JOFRANS,12.0,PACK,17500.0,17500.0,210000.0,1.0,TIGA PUTRI,asli,bersih,0,
82,2020-04-02,2020-04-01,Thursday,JOF-002,JOFRANS NUGGET AYAM REG. 500 GR X 12 PAK,JOFRANS,12.0,PACK,17500.0,17500.0,210000.0,1.0,TIGA PUTRI,asli,bersih,0,
83,2020-04-02,2020-04-01,Thursday,MIN-001,MINAKU OTAK OTAK 500 GR X 20 PACK,MINAKU,3.0,DUS,325000.0,325000.0,975000.0,1.0,TIGA PUTRI,asli,bersih,0,
84,2020-04-02,2020-04-01,Thursday,OKEY-004,OKEY STICK 1000 GR X 5 PACK,OKEY,15.0,PACK,35500.0,35500.0,532500.0,1.0,TIGA PUTRI,asli,bersih,0,
85,2020-04-02,2020-04-01,Thursday,BLF-002,BELFOODS SOSIS AYAM 1000 GR X 6 PACK,BELFOODS,5.0,DUS,180000.0,180000.0,900000.0,1.0,PAK ERWIN,asli,peringatan,2,R03
86,2020-04-02,2020-04-01,Thursday,BLF-001,BELFOODS SOSIS AYAM 500 GR X 12 PACK,BELFOODS,2.0,DUS,180000.0,180000.0,360000.0,1.0,PAK ERWIN,asli,peringatan,2,R03
87,2020-04-02,2020-04-01,Thursday,JOF-023,JOFRANS NUGGET AYAM HATI 500 GR X 12 PAK,JOFRANS,1.0,DUS,210000.0,210000.0,210000.0,1.0,PAK ERWIN,asli,peringatan,2,R03
88,2020-04-02,2020-04-01,Thursday,MI-004,MIAMI 8 LTR CHOCOLATE,MIAMI,1.0,PAIL,120000.0,120000.0,120000.0,1.0,AMANAH FROZEN,asli,bersih,0,
89,2020-04-02,2020-04-01,Thursday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,2.0,DUS,235000.0,235000.0,470000.0,1.0,AMANAH FROZEN,asli,peringatan,2,R02
90,2020-04-02,2020-04-01,Thursday,OKEY-003,OKEY STICK 500 GR X 10 PACK,OKEY,1.0,PACK,18500.0,18500.0,18500.0,1.0,AMANAH FROZEN,asli,bersih,0,
91,2020-04-03,2020-04-01,Friday,MIN-001,MINAKU OTAK OTAK 500 GR X 20 PACK,MINAKU,30.0,DUS,310000.0,310000.0,9300000.0,1.0,FIRDON,asli,info,1,S03
92,2020-04-03,2020-04-01,Friday,JOF-003,JOFRANS SPICY WING 500 GR X 12 PACK,JOFRANS,2.0,DUS,510000.0,510000.0,1020000.0,1.0,ANTON,asli,bersih,0,
93,2020-04-03,2020-04-01,Friday,JOF-002,JOFRANS NUGGET AYAM REG. 500 GR X 12 PAK,JOFRANS,2.0,DUS,210000.0,210000.0,420000.0,1.0,ANTON,asli,bersih,0,
94,2020-04-03,2020-04-01,Friday,JOF-023,JOFRANS NUGGET AYAM HATI 500 GR X 12 PAK,JOFRANS,2.0,DUS,210000.0,210000.0,420000.0,1.0,ANTON,asli,bersih,0,
95,2020-04-03,2020-04-01,Friday,JOF-009,JOFRANS BURGER SAPI (PATTIES) 900GR X 12,JOFRANS,9.0,PACK,37500.0,37500.0,337500.0,1.0,ANTON,asli,bersih,0,
96,2020-04-03,2020-04-01,Friday,KEI-004,KEI DONUT X 20 PACK,KEI,1.0,BAL,240000.0,240000.0,240000.0,1.0,BRAGA FROZEN FOOD,asli,bersih,0,
97,2020-04-03,2020-04-01,Friday,DEN-004,DEN BAGUS STICK ISI 32 X 30 PACK,DEN,1.0,BAL,390000.0,390000.0,390000.0,1.0,BRAGA FROZEN FOOD,asli,bersih,0,
98,2020-04-03,2020-04-01,Friday,AVIKO-001,AVIKO SHOESTRING 2.5 KG X 4 PACK,AVIKO,1.0,DUS,270000.0,270000.0,270000.0,1.0,INDAH CAFE,asli,bersih,0,
99,2020-04-03,2020-04-01,Friday,OKEY-001,OKEY SOSIS 500 GR X 20 PACK,OKEY,10.0,PACK,18250.0,18250.0,182500.0,1.0,INDAH CAFE,asli,bersih,0,
100,2020-04-03,2020-04-01,Friday,OKEY-003,OKEY STICK 500 GR X 10 PACK,OKEY,1.0,DUS,185000.0,185000.0,185000.0,1.0,INDAH CAFE,asli,bersih,0,
101,2020-04-03,2020-04-01,Friday,CHA-006,CHAMP BASO 500 GR X 10 PACK,CHAMP,1.0,DUS,220000.0,220000.0,220000.0,1.0,INDAH CAFE,asli,bersih,0,
102,2020-04-03,2020-04-01,Friday,MAES-001,MAESTRO LIGHT MAYO PCH 1 KG X 10,MAESTRO,10.0,DUS,255000.0,255000.0,2550000.0,1.0,GRAHA SANDENI,asli,bersih,0,
103,2020-04-03,2020-04-01,Friday,MC-001,MC LEWIS CHILI SAUCE POUCH 1 KG X 12 PCS,MC,6.0,DUS,146400.0,146400.0,878400.0,1.0,GRAHA SANDENI,asli,bersih,0,
104,2020-04-03,2020-04-01,Friday,MC-003,MC LEWIS CHILI SAUCE EXTHOT POUCH 1KGX12,MC,6.0,DUS,192000.0,192000.0,1152000.0,1.0,GRAHA SANDENI,asli,bersih,0,
105,2020-04-03,2020-04-01,Friday,DEL-003,DELMONTE EXT HOT JRG 5.7 KG,DELMONTE,5.0,JRG,95000.0,95000.0,475000.0,1.0,GRAHA SANDENI,asli,bersih,0,
106,2020-04-03,2020-04-01,Friday,JOF-023,JOFRANS NUGGET AYAM HATI 500 GR X 12 PAK,JOFRANS,5.0,DUS,210000.0,210000.0,1050000.0,1.0,GRAHA SANDENI,asli,bersih,0,
107,2020-04-03,2020-04-01,Friday,JOF-008,JOFRANS BASO SAPI 500 GR X 15 PACK,JOFRANS,4.0,DUS,457500.0,457500.0,1830000.0,1.0,RUMAH SOSIS,asli,bersih,0,
108,2020-04-03,2020-04-01,Friday,JOF-023,JOFRANS NUGGET AYAM HATI 500 GR X 12 PAK,JOFRANS,3.0,DUS,210000.0,210000.0,630000.0,1.0,RUMAH SOSIS,asli,bersih,0,
109,2020-04-03,2020-04-01,Friday,JOF-002,JOFRANS NUGGET AYAM REG. 500 GR X 12 PAK,JOFRANS,3.0,DUS,210000.0,210000.0,630000.0,1.0,RUMAH SOSIS,asli,bersih,0,
110,2020-04-03,2020-04-01,Friday,HOME-001,KULIT LUMPIA HOMEMADE,KULIT,10.0,BKS,9000.0,9000.0,90000.0,1.0,RUMAH SOSIS,asli,bersih,0,
111,2020-04-03,2020-04-01,Friday,HOT1-001,HOT 1 SAUS SAMBAL PCH 1 KG,HOT,9.0,PCS,12600.0,12600.0,113400.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
112,2020-04-03,2020-04-01,Friday,MAES-001,MAESTRO LIGHT MAYO PCH 1 KG X 10,MAESTRO,2.0,DUS,247500.0,247500.0,495000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
113,2020-04-03,2020-04-01,Friday,MC-001,MC LEWIS CHILI SAUCE POUCH 1 KG X 12 PCS,MC,6.0,PCS,11279.0,11279.0,67674.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
114,2020-04-03,2020-04-01,Friday,MC-003,MC LEWIS CHILI SAUCE EXTHOT POUCH 1KGX12,MC,6.0,PCS,14855.0,14855.0,89130.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
115,2020-04-03,2020-04-01,Friday,INDO-002,INDOESKRIM 8 LTR VANILLA,INDOESKRIM,15.0,PAIL,142000.0,142000.0,2130000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
